com.model.d3.D3Graph@fcc5b1Atype	Agroup	Aid	Aname	Btype	Bgroup	Bid	Bname
gene	IMMUNE DISEASES	TNF	null	mp	MP:0005387	MP:0003306	small intestinal inflammation
mp	MP:0005387	MP:0002352	abnormal popliteal lymph node morphology	mp	MP:0005387	MP:0009634	absent popliteal lymph nodes
mp	MP:0005387	MP:0002352	abnormal popliteal lymph node morphology	mp	MP:0005387	MP:0009635	enlarged popliteal lymph nodes
gene	IMMUNE DISEASES	TLR4	null	mp	MP:0005387	MP:0000702	enlarged lymph nodes
mp	MP:0005387	MP:0008174	decreased follicular B cell number	mp	MP:0005387	MP:0008175	absent follicular B cells
mp	MP:0005387	MP:0008588	abnormal circulating interleukin level	mp	MP:0005387	MP:0008595	abnormal circulating interleukin-6 level
mp	MP:0005387	MP:0008588	abnormal circulating interleukin level	mp	MP:0005387	MP:0008598	abnormal circulating interleukin-2 level
gene	IMMUNE DISEASES	H2-DMB1	null	ppi	ppi	14999	14999
gene	IMMUNE DISEASES	RAG2	null	mp	MP:0005387	MP:0008101	lymph node hypoplasia
gene	IMMUNE DISEASES	H2AFZ	null	ppi	ppi	51788	51788
mp	MP:0005387	MP:0002364	abnormal thymus size	mp	MP:0005387	MP:0000709	enlarged thymus
mp	MP:0005387	MP:0008171	abnormal mature B cell morphology	mp	MP:0005387	MP:0008211	decreased mature B cell number
mp	MP:0005387	MP:0008171	abnormal mature B cell morphology	mp	MP:0005387	MP:0008210	increased mature B cell number
mp	MP:0005387	MP:0008588	abnormal circulating interleukin level	mp	MP:0005387	MP:0008590	abnormal circulating interleukin-10 level
gene	IMMUNE DISEASES	ATP6V0A2	null	ppi	ppi	21871	21871
gene	IMMUNE DISEASES	PTPRC	null	mp	MP:0005387	MP:0005014	increased B cell number
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST2H2BB	null
gene	IMMUNE DISEASES	FOXP3	null	mp	MP:0005387	MP:0008478	increased spleen white pulp amount
gene	IMMUNE DISEASES	PTPRC	null	mp	MP:0005387	MP:0005015	increased T cell number
gene	IMMUNE DISEASES	GM16501	null	ppi	ppi	100042840	100042840
mp	MP:0005387	MP:0008640	abnormal circulating interleukin-1 beta level	mp	MP:0005387	MP:0008642	decreased circulating interleukin-1 beta level
mp	MP:0005387	MP:0008123	abnormal plasmacytoid dendritic cell number	mp	MP:0005387	MP:0008124	decreased plasmacytoid dendritic cell number
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST2H2BE	null
mp	MP:0005387	MP:0002376	abnormal dendritic cell physiology	mp	MP:0005387	MP:0013259	abnormal dendritic cell apoptosis
mp	MP:0005387	MP:0008172	abnormal follicular B cell morphology	mp	MP:0005387	MP:0008174	decreased follicular B cell number
mp	MP:0005387	MP:0006387	abnormal T cell number	mp	MP:0005387	MP:0003944	abnormal T cell subpopulation ratio
mp	MP:0005387	MP:0008640	abnormal circulating interleukin-1 beta level	mp	MP:0005387	MP:0008641	increased circulating interleukin-1 beta level
gene	IMMUNE DISEASES	FOXP3	null	mp	MP:0005387	MP:0008470	abnormal spleen B cell follicle morphology
gene	IMMUNE DISEASES	FOXP3	null	mp	MP:0005387	MP:0008476	increased spleen red pulp amount
mp	MP:0005387	MP:0008172	abnormal follicular B cell morphology	mp	MP:0005387	MP:0008173	increased follicular B cell number
gene	IMMUNE DISEASES	FOXP3	null	mp	MP:0005387	MP:0008475	intermingled spleen red and white pulp
gene	IMMUNE DISEASES	H2-Q2	null	ppi	ppi	15013	15013
mp	MP:0005387	MP:0008215	decreased immature B cell number	mp	MP:0005387	MP:0008190	decreased transitional stage B cell number
mp	MP:0005387	MP:0008628	abnormal circulating interleukin-9 level	mp	MP:0005387	MP:0008630	decreased circulating interleukin-9 level
pathway	HUMAN DISEASES	mmu05320	AUTOIMMUNE THYROID DISEASE	gene	IMMUNE DISEASES	CD40	null
gene	IMMUNE DISEASES	IL10	null	mp	MP:0005387	MP:0002816	colitis
ppi	ppi	21926	21926	ppi	ppi	16151	16151
mp	MP:0005387	MP:0004982	abnormal osteoclast morphology	mp	MP:0005387	MP:0008396	abnormal osteoclast differentiation
gene	IMMUNE DISEASES	C4B	null	mp	MP:0005387	MP:0002743	glomerulonephritis
gene	IMMUNE DISEASES	IL10	null	mp	MP:0005387	MP:0009481	cecum inflammation
mp	MP:0005387	MP:0009919	abnormal transitional stage T1 B cell morphology	mp	MP:0005387	MP:0009922	increased transitional stage T1 B cell number
mp	MP:0005387	MP:0009919	abnormal transitional stage T1 B cell morphology	mp	MP:0005387	MP:0009923	decreased transitional stage T1 B cell number
mp	MP:0005387	MP:0000704	abnormal thymus development	mp	MP:0005387	MP:0010722	persistent cervical thymus
mp	MP:0005387	MP:0020174	abnormal IgG level	mp	MP:0005387	MP:0020175	abnormal IgG1 level
gene	IMMUNE DISEASES	C3	null	mp	MP:0005387	MP:0002421	abnormal cell-mediated immunity
gene	IMMUNE DISEASES	TNFRSF13C	null	ppi	ppi	72049	72049
mp	MP:0005387	MP:0002534	abnormal type IV hypersensitivity reaction	mp	MP:0005387	MP:0005616	decreased susceptibility to type IV hypersensitivity reaction
mp	MP:0005387	MP:0008739	abnormal spleen iron level	mp	MP:0005387	MP:0008808	decreased spleen iron level
mp	MP:0005387	MP:0002534	abnormal type IV hypersensitivity reaction	mp	MP:0005387	MP:0005617	increased susceptibility to type IV hypersensitivity reaction
pathway	HUMAN DISEASES	mmu05323	RHEUMATOID ARTHRITIS	gene	IMMUNE DISEASES	H2-EB1	null
mp	MP:0005387	MP:0020174	abnormal IgG level	mp	MP:0005387	MP:0020178	abnormal IgG2c level
mp	MP:0005387	MP:0008589	abnormal circulating interleukin-1 level	mp	MP:0005387	MP:0008592	decreased circulating interleukin-1 level
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	GM6026	null
gene	IMMUNE DISEASES	FASL	null	mp	MP:0005387	MP:0000702	enlarged lymph nodes
gene	IMMUNE DISEASES	C8G	null	ppi	ppi	69379	69379
mp	MP:0005387	MP:0020174	abnormal IgG level	mp	MP:0005387	MP:0020179	abnormal IgG3 level
mp	MP:0005387	MP:0020174	abnormal IgG level	mp	MP:0005387	MP:0020176	abnormal IgG2a level
gene	IMMUNE DISEASES	PRF1	null	mp	MP:0005387	MP:0008641	increased circulating interleukin-1 beta level
mp	MP:0005387	MP:0020174	abnormal IgG level	mp	MP:0005387	MP:0020177	abnormal IgG2b level
mp	MP:0005387	MP:0008589	abnormal circulating interleukin-1 level	mp	MP:0005387	MP:0008591	increased circulating interleukin-1 level
gene	IMMUNE DISEASES	C3	null	mp	MP:0005387	MP:0002423	abnormal mast cell physiology
gene	IMMUNE DISEASES	PRF1	null	ppi	ppi	18646	18646
pathway	HUMAN DISEASES	mmu05332	GRAFT-VERSUS-HOST DISEASE	gene	IMMUNE DISEASES	IFNG	null
mp	MP:0005387	MP:0005432	abnormal pro-B cell morphology	mp	MP:0005387	MP:0008208	decreased pro-B cell number
pathway	HUMAN DISEASES	mmu05323	RHEUMATOID ARTHRITIS	gene	IMMUNE DISEASES	H2-AB1	null
gene	IMMUNE DISEASES	TLR4	null	mp	MP:0005387	MP:0008720	impaired neutrophil chemotaxis
mp	MP:0005387	MP:0008739	abnormal spleen iron level	mp	MP:0005387	MP:0008809	increased spleen iron level
mp	MP:0005387	MP:0006194	keratoconjunctivitis	mp	MP:0005387	MP:0013466	keratoconjunctivitis sicca
gene	IMMUNE DISEASES	MMP3	null	ppi	ppi	17392	17392
mp	MP:0005387	MP:0012773	abnormal CD4-positive, CD25-positive, alpha-beta regulatory T cell number	mp	MP:0005387	MP:0013428	abnormal memory CD4-positive, CD25-positive, alpha-beta regulatory T cell number
mp	MP:0005387	MP:0008126	increased dendritic cell number	mp	MP:0005387	MP:0008121	increased myeloid dendritic cell number
mp	MP:0005387	MP:0002376	abnormal dendritic cell physiology	mp	MP:0005387	MP:0005362	abnormal Langerhans cell physiology
mp	MP:0005387	MP:0005078	abnormal cytotoxic T cell physiology	mp	MP:0005387	MP:0013280	abnormal cytotoxic T cell cytolysis
mp	MP:0005387	MP:0008131	abnormal Peyer's patch number	mp	MP:0005387	MP:0008133	decreased Peyer's patch number
mp	MP:0005387	MP:0008131	abnormal Peyer's patch number	mp	MP:0005387	MP:0008132	increased Peyer's patch number
gene	IMMUNE DISEASES	C3	null	mp	MP:0005387	MP:0002412	increased susceptibility to bacterial infection
gene	IMMUNE DISEASES	RAG2	null	mp	MP:0005387	MP:0008755	abnormal immunoglobulin V(D)J recombination
gene	IMMUNE DISEASES	GM12657	null	ppi	ppi	667250	667250
gene	IMMUNE DISEASES	RAG2	null	mp	MP:0005387	MP:0008754	abnormal T cell receptor V(D)J recombination
mp	MP:0005387	MP:0008187	absent pro-B cells	mp	MP:0005387	MP:0011817	absent pre-pro B cells
mp	MP:0005387	MP:0008763	abnormal mast cell degranulation	mp	MP:0005387	MP:0008765	decreased mast cell degranulation
pathway	HUMAN DISEASES	mmu05323	RHEUMATOID ARTHRITIS	gene	IMMUNE DISEASES	CTSK	null
gene	IMMUNE DISEASES	CXCL5	null	ppi	ppi	20311	20311
mp	MP:0005387	MP:0008763	abnormal mast cell degranulation	mp	MP:0005387	MP:0008764	increased mast cell degranulation
pathway	HUMAN DISEASES	mmu05323	RHEUMATOID ARTHRITIS	gene	IMMUNE DISEASES	CTSL	null
mp	MP:0005387	MP:0000334	decreased granulocyte number	mp	MP:0005387	MP:0005012	decreased eosinophil cell number
pathway	HUMAN DISEASES	mmu05320	AUTOIMMUNE THYROID DISEASE	gene	IMMUNE DISEASES	CD28	null
ppi	ppi	20846	20846	ppi	ppi	20846	20846
ppi	ppi	20846	20846	ppi	ppi	20848	20848
gene	IMMUNE DISEASES	IFNG	null	mp	MP:0005387	MP:0002412	increased susceptibility to bacterial infection
mp	MP:0005387	MP:0012766	abnormal KLRG1-positive NK cell number	mp	MP:0005387	MP:0012767	increased KLRG1-positive NK cell number
mp	MP:0005387	MP:0010211	abnormal acute phase protein level	mp	MP:0005387	MP:0010213	abnormal circulating fibrinogen level
gene	IMMUNE DISEASES	C1QA	null	ppi	ppi	12259	12259
gene	IMMUNE DISEASES	CCL5	null	ppi	ppi	20304	20304
mp	MP:0005387	MP:0010211	abnormal acute phase protein level	mp	MP:0005387	MP:0010214	abnormal circulating serum amyloid protein level
mp	MP:0005387	MP:0008074	increased CD4-positive, alpha beta T cell number	mp	MP:0005387	MP:0013157	increased KLRG1+ CD4 alpha beta T cell number
gene	IMMUNE DISEASES	C8B	null	ppi	ppi	110382	110382
mp	MP:0005387	MP:0010211	abnormal acute phase protein level	mp	MP:0005387	MP:0010212	abnormal circulating C-reactive protein level
gene	IMMUNE DISEASES	NOD2	null	mp	MP:0005387	MP:0002446	abnormal macrophage morphology
mp	MP:0005387	MP:0012773	abnormal CD4-positive, CD25-positive, alpha-beta regulatory T cell number	mp	MP:0005387	MP:0013431	abnormal KLRG1-positive CD4-positive, CD25-positive, alpha-beta regulatory T cell number
mp	MP:0005387	MP:0008078	increased CD8-positive, alpha-beta T cell number	mp	MP:0005387	MP:0013154	increased KLRG1+ CD8 alpha beta T cell number
mp	MP:0005387	MP:0001790	abnormal immune system physiology	mp	MP:0005387	MP:0010223	abnormal immunoglobulin transcytosis
gene	IMMUNE DISEASES	IL4RA	null	mp	MP:0005387	MP:0005596	increased susceptibility to type I hypersensitivity reaction
pathway	HUMAN DISEASES	mmu05332	GRAFT-VERSUS-HOST DISEASE	gene	IMMUNE DISEASES	FASL	null
mp	MP:0005387	MP:0002451	abnormal macrophage physiology	mp	MP:0005387	MP:0010760	abnormal macrophage chemotaxis
mp	MP:0005387	MP:0000685	abnormal immune system morphology	mp	MP:0005387	MP:0000716	abnormal immune system cell morphology
mp	MP:0005387	MP:0011073	abnormal macrophage apoptosis	mp	MP:0005387	MP:0011080	increased macrophage apoptosis
pathway	HUMAN DISEASES	mmu05310	ASTHMA	gene	IMMUNE DISEASES	H2-DMA	null
mp	MP:0005387	MP:0011073	abnormal macrophage apoptosis	mp	MP:0005387	MP:0011081	decreased macrophage apoptosis
mp	MP:0005387	MP:0003725	increased autoantibody level	mp	MP:0005387	MP:0002869	increased anti-insulin autoantibody level
pathway	HUMAN DISEASES	mmu05321	INFLAMMATORY BOWEL DISEASE (IBD)	gene	IMMUNE DISEASES	NFATC1	null
mp	MP:0005387	MP:0002364	abnormal thymus size	mp	MP:0005387	MP:0004954	abnormal thymus weight
gene	IMMUNE DISEASES	PRF1	null	mp	MP:0005387	MP:0008635	increased circulating interleukin-18 level
gene	IMMUNE DISEASES	FAS	null	mp	MP:0005387	MP:0001870	salivary gland inflammation
mp	MP:0005387	MP:0002432	abnormal CD4-positive, alpha beta T cell morphology	mp	MP:0005387	MP:0010183	abnormal CD4-positive helper T cell morphology
gene	IMMUNE DISEASES	JAK3	null	mp	MP:0005387	MP:0002444	abnormal T cell physiology
gene	IMMUNE DISEASES	AIRE	null	mp	MP:0005387	MP:0006082	CNS inflammation
gene	IMMUNE DISEASES	CIITA	null	mp	MP:0005387	MP:0008075	decreased CD4-positive, alpha beta T cell number
gene	IMMUNE DISEASES	SMAD3	null	ppi	ppi	17127	17127
mp	MP:0005387	MP:0008713	abnormal cytokine level	mp	MP:0005387	MP:0008721	abnormal chemokine level
mp	MP:0005387	MP:0010760	abnormal macrophage chemotaxis	mp	MP:0005387	MP:0003799	impaired macrophage chemotaxis
gene	IMMUNE DISEASES	IL10	null	mp	MP:0005387	MP:0001790	abnormal immune system physiology
gene	IMMUNE DISEASES	CIITA	null	mp	MP:0005387	MP:0008074	increased CD4-positive, alpha beta T cell number
pathway	HUMAN DISEASES	mmu05320	AUTOIMMUNE THYROID DISEASE	gene	IMMUNE DISEASES	H2-AA	null
pathway	null	pathway	pathway	gene	null	gene	gene
gene	IMMUNE DISEASES	SNRPD1	null	ppi	ppi	20641	20641
mp	MP:0005387	MP:0002463	abnormal neutrophil physiology	mp	MP:0005387	MP:0002467	impaired neutrophil phagocytosis
mp	MP:0005387	MP:0002145	abnormal T cell differentiation	mp	MP:0005387	MP:0008754	abnormal T cell receptor V(D)J recombination
gene	IMMUNE DISEASES	STAT3	null	ppi	ppi	20848	20848
pathway	HUMAN DISEASES	mmu05321	INFLAMMATORY BOWEL DISEASE (IBD)	gene	IMMUNE DISEASES	TGFB3	null
ppi	ppi	60595	60595	ppi	ppi	11964	11964
pathway	HUMAN DISEASES	mmu05321	INFLAMMATORY BOWEL DISEASE (IBD)	gene	IMMUNE DISEASES	TGFB1	null
pathway	HUMAN DISEASES	mmu05321	INFLAMMATORY BOWEL DISEASE (IBD)	gene	IMMUNE DISEASES	TGFB2	null
gene	IMMUNE DISEASES	FCGR1	null	ppi	ppi	14129	14129
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	GM5132	null
mp	MP:0005387	MP:0002371	abnormal thymus cortex morphology	mp	MP:0005387	MP:0013585	thymus cortex atrophy
mp	MP:0005387	MP:0002375	abnormal thymus medulla morphology	mp	MP:0005387	MP:0013590	enlarged thymus medulla
pathway	HUMAN DISEASES	mmu05323	RHEUMATOID ARTHRITIS	gene	IMMUNE DISEASES	ATP6V0E2	null
gene	IMMUNE DISEASES	ICOS	null	mp	MP:0005387	MP:0008496	decreased IgG2a level
gene	IMMUNE DISEASES	IL4RA	null	ppi	ppi	16190	16190
gene	IMMUNE DISEASES	IFNA1	null	ppi	ppi	15962	15962
mp	MP:0005387	MP:0001819	abnormal immune cell physiology	mp	MP:0005387	MP:0008197	abnormal follicular dendritic cell physiology
gene	IMMUNE DISEASES	FASL	null	mp	MP:0005387	MP:0005079	decreased cytotoxic T cell cytolysis
pathway	HUMAN DISEASES	mmu05323	RHEUMATOID ARTHRITIS	gene	IMMUNE DISEASES	CCL20	null
mp	MP:0005387	MP:0002442	abnormal leukocyte physiology	mp	MP:0005387	MP:0003156	abnormal leukocyte migration
gene	IMMUNE DISEASES	TNF	null	mp	MP:0005387	MP:0010209	abnormal circulating chemokine level
ppi	ppi	20848	20848	ppi	ppi	20846	20846
pathway	HUMAN DISEASES	mmu05332	GRAFT-VERSUS-HOST DISEASE	gene	IMMUNE DISEASES	IL1B	null
pathway	HUMAN DISEASES	mmu05332	GRAFT-VERSUS-HOST DISEASE	gene	IMMUNE DISEASES	IL1A	null
mp	MP:0005387	MP:0005019	abnormal early pro-B cell	mp	MP:0005387	MP:0003133	increased early pro-B cell number
mp	MP:0005387	MP:0002359	abnormal spleen germinal center morphology	mp	MP:0005387	MP:0008474	absent spleen germinal center
pathway	HUMAN DISEASES	mmu05340	PRIMARY IMMUNODEFICIENCY	gene	IMMUNE DISEASES	BLNK	null
mp	MP:0005387	MP:0001859	kidney inflammation	mp	MP:0005387	MP:0002704	tubular nephritis
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	C1QB	null
pathway	HUMAN DISEASES	mmu05310	ASTHMA	gene	IMMUNE DISEASES	FCER1G	null
gene	IMMUNE DISEASES	BLNK	null	ppi	ppi	17060	17060
mp	MP:0005387	MP:0002816	colitis	mp	MP:0005387	MP:0013296	abnormal susceptibility to induced colitis
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	C1QC	null
gene	IMMUNE DISEASES	KLRC1	null	ppi	ppi	16641	16641
mp	MP:0005387	MP:0008472	abnormal spleen secondary B follicle morphology	mp	MP:0005387	MP:0002360	abnormal spleen B cell corona morphology
pathway	HUMAN DISEASES	mmu05310	ASTHMA	gene	IMMUNE DISEASES	FCER1A	null
pathway	HUMAN DISEASES	mmu05321	INFLAMMATORY BOWEL DISEASE (IBD)	gene	IMMUNE DISEASES	IFNGR1	null
gene	IMMUNE DISEASES	AIRE	null	mp	MP:0005387	MP:0003341	chronic pancreas inflammation
gene	IMMUNE DISEASES	ICOS	null	mp	MP:0005387	MP:0008495	decreased IgG1 level
gene	IMMUNE DISEASES	RAG2	null	mp	MP:0005387	MP:0003945	abnormal lymphocyte physiology
pathway	HUMAN DISEASES	mmu05321	INFLAMMATORY BOWEL DISEASE (IBD)	gene	IMMUNE DISEASES	IFNGR2	null
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	C1QA	null
pathway	HUMAN DISEASES	mmu05323	RHEUMATOID ARTHRITIS	gene	IMMUNE DISEASES	ATP6V0D2	null
pathway	HUMAN DISEASES	mmu05323	RHEUMATOID ARTHRITIS	gene	IMMUNE DISEASES	ATP6V0D1	null
ppi	ppi	20848	20848	ppi	ppi	20848	20848
mp	MP:0005387	MP:0002359	abnormal spleen germinal center morphology	mp	MP:0005387	MP:0008481	increased spleen germinal center number
mp	MP:0005387	MP:0009332	abnormal splenocyte morphology	mp	MP:0005387	MP:0009337	abnormal splenocyte number
mp	MP:0005387	MP:0002359	abnormal spleen germinal center morphology	mp	MP:0005387	MP:0008482	decreased spleen germinal center number
mp	MP:0005387	MP:0002359	abnormal spleen germinal center morphology	mp	MP:0005387	MP:0008483	increased spleen germinal center size
mp	MP:0005387	MP:0001601	abnormal myelopoiesis	mp	MP:0005387	MP:0010373	myeloid hyperplasia
mp	MP:0005387	MP:0002359	abnormal spleen germinal center morphology	mp	MP:0005387	MP:0008484	decreased spleen germinal center size
gene	IMMUNE DISEASES	FASL	null	mp	MP:0005387	MP:0002145	abnormal T cell differentiation
mp	MP:0005387	MP:0012769	abnormal CD4-positive, alpha-beta memory T cell number	mp	MP:0005387	MP:0010836	decreased CD4-positive, alpha-beta memory T cell number
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	C1RA	null
mp	MP:0005387	MP:0012769	abnormal CD4-positive, alpha-beta memory T cell number	mp	MP:0005387	MP:0010835	increased CD4-positive, alpha-beta memory T cell number
mp	MP:0005387	MP:0008472	abnormal spleen secondary B follicle morphology	mp	MP:0005387	MP:0002359	abnormal spleen germinal center morphology
mp	MP:0005387	MP:0008689	abnormal interleukin-23 secretion	mp	MP:0005387	MP:0008690	increased interleukin-23 secretion
mp	MP:0005387	MP:0013434	abnormal CD8-positive, naive alpha-beta T cell number	mp	MP:0005387	MP:0013435	decreased CD8-positive, naive alpha-beta T cell number
gene	IMMUNE DISEASES	ZAP70	null	mp	MP:0005387	MP:0003850	abnormal thymocyte activation
mp	MP:0005387	MP:0008689	abnormal interleukin-23 secretion	mp	MP:0005387	MP:0008691	decreased interleukin-23 secretion
mp	MP:0005387	MP:0010168	increased CD4-positive, CD25-positive, alpha-beta regulatory T cell number	mp	MP:0005387	MP:0013430	increased memory CD4-positive, CD25-positive, alpha-beta regulatory T cell number
mp	MP:0005387	MP:0013434	abnormal CD8-positive, naive alpha-beta T cell number	mp	MP:0005387	MP:0013436	increased CD8-positive, naive alpha-beta T cell number
gene	IMMUNE DISEASES	TNF	null	mp	MP:0005387	MP:0009482	ileum inflammation
mp	MP:0005387	MP:0001790	abnormal immune system physiology	mp	MP:0005387	MP:0002148	abnormal hypersensitivity reaction
gene	IMMUNE DISEASES	IL10	null	mp	MP:0005387	MP:0008808	decreased spleen iron level
gene	IMMUNE DISEASES	CSF2	null	mp	MP:0005387	MP:0002412	increased susceptibility to bacterial infection
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	C1S2	null
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	C1S1	null
gene	IMMUNE DISEASES	SNRPB	null	ppi	ppi	20638	20638
mp	MP:0005387	MP:0008689	abnormal interleukin-23 secretion	mp	MP:0005387	MP:0008692	abnormal interleukin-23a secretion
mp	MP:0005387	MP:0010168	increased CD4-positive, CD25-positive, alpha-beta regulatory T cell number	mp	MP:0005387	MP:0013433	increased KLRG1-positive CD4-positive, CD25-positive, alpha-beta regulatory T cell number
gene	IMMUNE DISEASES	C1QC	null	ppi	ppi	12262	12262
gene	IMMUNE DISEASES	C3	null	mp	MP:0005387	MP:0008597	decreased circulating interleukin-6 level
mp	MP:0005387	MP:0005000	abnormal immune tolerance	mp	MP:0005387	MP:0005001	abnormal clonal deletion
mp	MP:0005387	MP:0008713	abnormal cytokine level	mp	MP:0005387	MP:0008751	abnormal interleukin level
mp	MP:0005387	MP:0008713	abnormal cytokine level	mp	MP:0005387	MP:0008752	abnormal tumor necrosis factor level
mp	MP:0005387	MP:0005000	abnormal immune tolerance	mp	MP:0005387	MP:0005004	abnormal lymphocyte anergy
mp	MP:0005387	MP:0002371	abnormal thymus cortex morphology	mp	MP:0005387	MP:0010250	absent thymus cortex
mp	MP:0005387	MP:0003306	small intestinal inflammation	mp	MP:0005387	MP:0009482	ileum inflammation
mp	MP:0005387	MP:0005000	abnormal immune tolerance	mp	MP:0005387	MP:0005005	abnormal self tolerance
mp	MP:0005387	MP:0008713	abnormal cytokine level	mp	MP:0005387	MP:0008750	abnormal interferon level
mp	MP:0005387	MP:0008171	abnormal mature B cell morphology	mp	MP:0005387	MP:0008172	abnormal follicular B cell morphology
mp	MP:0005387	MP:0008171	abnormal mature B cell morphology	mp	MP:0005387	MP:0008176	abnormal germinal center B cell morphology
gene	IMMUNE DISEASES	CSF2	null	mp	MP:0005387	MP:0002442	abnormal leukocyte physiology
gene	IMMUNE DISEASES	JAK3	null	mp	MP:0005387	MP:0002401	abnormal lymphopoiesis
mp	MP:0005387	MP:0008123	abnormal plasmacytoid dendritic cell number	mp	MP:0005387	MP:0008524	increased plasmacytoid dendritic cell number
pathway	HUMAN DISEASES	mmu05340	PRIMARY IMMUNODEFICIENCY	gene	IMMUNE DISEASES	CD4	null
mp	MP:0005387	MP:0008349	abnormal gamma-delta intraepithelial T cell morphology	mp	MP:0005387	MP:0008361	abnormal CD8-positive, gamma-delta intraepithelial T cell morphology
gene	IMMUNE DISEASES	HIST1H2AD	null	ppi	ppi	319165	319165
gene	IMMUNE DISEASES	FAS	null	mp	MP:0005387	MP:0001844	autoimmune response
mp	MP:0005387	MP:0008171	abnormal mature B cell morphology	mp	MP:0005387	MP:0008184	abnormal naive B cell morphology
mp	MP:0005387	MP:0008348	absent gamma-delta T cells	mp	MP:0005387	MP:0008355	absent mature gamma-delta T cells
mp	MP:0005387	MP:0005094	abnormal T cell proliferation	mp	MP:0005387	MP:0005095	decreased T cell proliferation
mp	MP:0005387	MP:0008171	abnormal mature B cell morphology	mp	MP:0005387	MP:0008180	abnormal marginal zone B cell morphology
mp	MP:0005387	MP:0005350	increased susceptibility to autoimmune disorder	mp	MP:0005387	MP:0012567	increased susceptibility to experimental autoimmune orchitis
mp	MP:0005387	MP:0002933	joint inflammation	mp	MP:0005387	MP:0002993	arthritis
mp	MP:0005387	MP:0008349	abnormal gamma-delta intraepithelial T cell morphology	mp	MP:0005387	MP:0008357	abnormal CD4-positive, gamma-delta intraepithelial T cell morphology
mp	MP:0005387	MP:0002144	abnormal B cell differentiation	mp	MP:0005387	MP:0004942	abnormal B cell selection
mp	MP:0005387	MP:0003762	abnormal immune organ physiology	mp	MP:0005387	MP:0003865	lymph node inflammation
gene	IMMUNE DISEASES	C1QA	null	mp	MP:0005387	MP:0002743	glomerulonephritis
gene	IMMUNE DISEASES	SMAD3	null	mp	MP:0005387	MP:0008783	decreased B cell apoptosis
gene	IMMUNE DISEASES	IL4RA	null	mp	MP:0005387	MP:0002434	abnormal T-helper 2 cell morphology
mp	MP:0005387	MP:0008125	abnormal dendritic cell number	mp	MP:0005387	MP:0008126	increased dendritic cell number
gene	IMMUNE DISEASES	C4B	null	mp	MP:0005387	MP:0008481	increased spleen germinal center number
mp	MP:0005387	MP:0008463	abnormal peripheral lymph node morphology	mp	MP:0005387	MP:0009627	abnormal submandibular lymph node morphology
gene	IMMUNE DISEASES	PTPRC	null	mp	MP:0005387	MP:0000217	abnormal leukocyte cell number
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST2H3B	null
mp	MP:0005387	MP:0008125	abnormal dendritic cell number	mp	MP:0005387	MP:0008127	decreased dendritic cell number
gene	IMMUNE DISEASES	IL4RA	null	mp	MP:0005387	MP:0008602	increased circulating interleukin-4 level
mp	MP:0005387	MP:0002423	abnormal mast cell physiology	mp	MP:0005387	MP:0008763	abnormal mast cell degranulation
mp	MP:0005387	MP:0002446	abnormal macrophage morphology	mp	MP:0005387	MP:0008242	abnormal perivascular macrophage morphology
mp	MP:0005387	MP:0002446	abnormal macrophage morphology	mp	MP:0005387	MP:0008243	abnormal macrophage derived foam cell morphology
mp	MP:0005387	MP:0002446	abnormal macrophage morphology	mp	MP:0005387	MP:0008240	abnormal spleen marginal zone macrophage morphology
gene	IMMUNE DISEASES	FAS	null	mp	MP:0005387	MP:0001852	conjunctivitis
pathway	HUMAN DISEASES	mmu05323	RHEUMATOID ARTHRITIS	gene	IMMUNE DISEASES	CCL12	null
mp	MP:0005387	MP:0008125	abnormal dendritic cell number	mp	MP:0005387	MP:0008120	abnormal myeloid dendritic cell number
gene	IMMUNE DISEASES	TGFB1	null	mp	MP:0005387	MP:0004510	myositis
pathway	HUMAN DISEASES	mmu05332	GRAFT-VERSUS-HOST DISEASE	gene	IMMUNE DISEASES	IL2	null
gene	IMMUNE DISEASES	TCIRG1	null	mp	MP:0005387	MP:0001541	abnormal osteoclast physiology
